Name,Pop,Donor,Type,District,Region
,,,,,
Zailac,"11,639",FRC,Static,Awdal,Somaliland
Adadely,"25,750",FRC,Static,Woqoyi Galbeed ,Somaliland
DILLA,"18,540",EPHS,Static,Awdal,Somaliland
Sahil. Mobile,"15,500",BRC,Mobile,sahel,Somaliland
Erigavo(kulmiye),"43,778",QRC,Static,Sanaag,Somaliland
Harfo ,"10,800",NorCross,Static,Galkayo,Puntland
Dongoroyo,"10,000",JRC,Static,Garowe,Puntland
Laasodawo,"15,450",SRC,Static,Sahel,Somaliland
San. Mobile 2,"14,800",FRC,Mobile,Sanag,Somaliland
Kenya,"34,788",FRC,Static,Togdheer,Somaliland
Erigavo,"43,778",QRC,Static,Sanaag,Somaliland
Alleybaday,"12,360",FRC,Static,Woqoyi Galbeed ,Somaliland
Awdal  Mobile,"15,900",FRC,Mobile,Awdal,Somaliland
Eyl/Badey,"12,000",JRC,Static,Garowe,Puntland
Badweyn,"9,600",NorCross,Static,Galkayo,Puntland
San.Mobile 1,"15,000",SRCS,Mobile,Sanaag,Somaliland
Awdal Mobile,"15,900",BRC,Mobile,Awdal,Somaliland
Hasbahale,"6,450",JRC,Static,Garowe,Puntland
Kalabeyr,"6,000",JRC,Static,Garowe,Puntland
Odwein,"44,414",EPHS,Static,Togdheer,Somaliland
San. Mobile 2,"14,800",Closed,Mobile,Sanaag,Somaliland
mobile 2(Bari),"15,450",SRC,Mobile,Bossaso,Puntland
mobile 2,"12,690",Closed,Mobile,Garowe,Puntland
Jeriban,"13,000",NorCross,Static,Galkayo,Puntland
Sheikh,"20,600",SRC,Static,Sahel,Somaliland
Godo-Jiran,"8,700",JRC,Static,Garowe,Puntland
Sool mobile 2,"14,300",Closed,Mobile,Sool,Somaliland
mobile 2,"20,950",OPEC,Mobile,Galkayo,Puntland
Rako,"7,500",SRC,Static,Bossaso,Puntland
Qarhis,"6,300",JRC,Static,Garowe,Puntland
Galkayo  South,"25,000",NorCross,Static,Galkayo,Puntland
Galdogob,"17,000",NorCross,Static,Galkayo,Puntland
Tog. Mobile,"17,000",BRC,Mobile,Togdheer,Somaliland
Sahil. Mobile,"15,500",BRC,Mobile,Sahel,Somaliland
Jalam,"8,880",JRC,Static,Garowe,Puntland
mobile 1(Karkar),"15,800",SRC,Mobile,Bossaso,Puntland
Huddun,"28,728",FRC,Static,Sool,Somaliland
Har.mobile 2,"30,400",Icelandic RC,Mobile,Woqoyi Galbeed ,Somaliland
Wisil,"7,500",NorCross,Static,Galkayo,Puntland
Iskushuban,"7,800",SRC,Static,Bossaso,Puntland
Waciye,"7,600",SRC,Static,Bossaso,Puntland
Elilafweine,"59,637",FRC,Static,Sanaag,Somaliland
Huddun ,"28,728",FRC,Static,Sool,Somaliland
Bali Busle,"6,900",NorCross,Static,Galkayo,Puntland
mobile 1,"21,309",OPEC,Mobile,Garowe,Puntland
Har.mobile 2,"30,400",Icelandic RC,Mobile,Hargeisa,Somaliland
Sool.mobile 1,"13,400",Closed,Mobile,Sool,Somaliland
San.Mobile 1,"15,000",FRC,Mobile,Sanag,Somaliland
Halaboqad,"6,425",NorCross,Static,Galkayo,Puntland
Yagori,"31,957",QRC,Static,Sool,Somaliland
mobile 1,"18,750",OPEC,Mobile,Galkayo,Puntland
Ufeyn,"7,640",SRC,Static,Bossaso,Puntland
Sinjuiff,"6,100",JRC,Static,Garowe,Puntland
