Bali Busle,"6,900",NorCross,Static,Galkayo,Puntland
Adadely,"25,750",FRC,Static,Woqoyi Galbeed ,Somaliland
Galkayo  South,"25,000",NorCross,Static,Galkayo,Puntland
Ufeyn,"7,640",SRC,Static,Bossaso,Puntland
mobile 2(Bari),"15,450",SRC,Mobile,Bossaso,Puntland
Awdal  Mobile,"15,900",FRC,Mobile,Awdal,Somaliland
Huddun ,"28,728",FRC,Static,Sool,Somaliland
Sheikh,"20,600",SRC,Static,Sahel,Somaliland
Erigavo(kulmiye),"43,778",QRC,Static,Sanaag,Somaliland
Zailac,"11,639",FRC,Static,Awdal,Somaliland
Laasodawo,"15,450",SRC,Static,Sahel,Somaliland
Erigavo,"43,778",QRC,Static,Sanaag,Somaliland
Halaboqad,"6,425",NorCross,Static,Galkayo,Puntland
Wisil,"7,500",NorCross,Static,Galkayo,Puntland
San. Mobile 2,"14,800",Closed,Mobile,Sanaag,Somaliland
Kenya,"34,788",FRC,Static,Togdheer,Somaliland
mobile 1,"21,309",OPEC,Mobile,Garowe,Puntland
Har.mobile 2,"30,400",Icelandic RC,Mobile,Woqoyi Galbeed ,Somaliland
Har.mobile 2,"30,400",Icelandic RC,Mobile,Hargeisa,Somaliland
Galdogob,"17,000",NorCross,Static,Galkayo,Puntland
Huddun,"28,728",FRC,Static,Sool,Somaliland
Elilafweine,"59,637",FRC,Static,Sanaag,Somaliland
Waciye,"7,600",SRC,Static,Bossaso,Puntland
Sinjuiff,"6,100",JRC,Static,Garowe,Puntland
mobile 1,"18,750",OPEC,Mobile,Galkayo,Puntland
Odwein,"44,414",EPHS,Static,Togdheer,Somaliland
Rako,"7,500",SRC,Static,Bossaso,Puntland
Hasbahale,"6,450",JRC,Static,Garowe,Puntland
Qarhis,"6,300",JRC,Static,Garowe,Puntland
Awdal Mobile,"15,900",BRC,Mobile,Awdal,Somaliland
mobile 2,"20,950",OPEC,Mobile,Galkayo,Puntland
Iskushuban,"7,800",SRC,Static,Bossaso,Puntland
Jeriban,"13,000",NorCross,Static,Galkayo,Puntland
Dongoroyo,"10,000",JRC,Static,Garowe,Puntland
San.Mobile 1,"15,000",FRC,Mobile,Sanag,Somaliland
Harfo ,"10,800",NorCross,Static,Galkayo,Puntland
Sool mobile 2,"14,300",Closed,Mobile,Sool,Somaliland
DILLA,"18,540",EPHS,Static,Awdal,Somaliland
Jalam,"8,880",JRC,Static,Garowe,Puntland
Yagori,"31,957",QRC,Static,Sool,Somaliland
San. Mobile 2,"14,800",FRC,Mobile,Sanag,Somaliland
Sahil. Mobile,"15,500",BRC,Mobile,Sahel,Somaliland
mobile 1(Karkar),"15,800",SRC,Mobile,Bossaso,Puntland
Sool.mobile 1,"13,400",Closed,Mobile,Sool,Somaliland
Badweyn,"9,600",NorCross,Static,Galkayo,Puntland
Eyl/Badey,"12,000",JRC,Static,Garowe,Puntland
San.Mobile 1,"15,000",SRCS,Mobile,Sanaag,Somaliland
Alleybaday,"12,360",FRC,Static,Woqoyi Galbeed ,Somaliland
Tog. Mobile,"17,000",BRC,Mobile,Togdheer,Somaliland
Godo-Jiran,"8,700",JRC,Static,Garowe,Puntland
mobile 2,"12,690",Closed,Mobile,Garowe,Puntland
Kalabeyr,"6,000",JRC,Static,Garowe,Puntland
Sahil. Mobile,"15,500",BRC,Mobile,sahel,Somaliland
